file,step,size,mtime,sd_hash,val_accuracy,eval_summary
clone.pt,0,231MB,2026-08-18 02:04,b6121278,0.7099380554807433,
clone26.pt,0,231MB,2026-08-22 12:27,b6121278,0.7240631774543203,
clone_pilot.pt,0,231MB,2026-08-24 22:01,b6121278,0.7691461267605634,
ent0_best.pt,201216,77MB,2026-08-22 23:51,b6121278,,W29-L11 26-13
ent0_last.pt,900096,231MB,2026-08-23 00:33,b6121278,,
hog26_best.pt,29042688,231MB,2026-08-22 06:50,b6121278,,W13-L3 0-1
hog26_last.pt,30001152,231MB,2026-08-22 07:00,b6121278,,
hog26_resume.pt,4005888,231MB,2026-08-22 02:28,b6121278,,W3-L13 0-2
hog26_resume2.pt,26038272,231MB,2026-08-22 06:16,b6121278,,W12-L4 0-1
hog26v2_last.pt,2001408,231MB,2026-08-22 12:05,b6121278,,
hog26v3_best.pt,8005632,231MB,2026-08-22 13:55,b6121278,,W36-L14 41-17
hog26v3_last.pt,20000256,231MB,2026-08-22 16:02,b6121278,,
hog26v4_best.pt,6004224,231MB,2026-08-22 17:56,b6121278,,W18-L42 0-11
hog26v4_last.pt,10007040,231MB,2026-08-22 18:52,b6121278,,W28-L32 0-11
hog26v5_best.pt,1001472,231MB,2026-08-22 20:46,b6121278,,W21-L39 0-14
hog26v5_last.pt,1001472,231MB,2026-08-22 20:46,b6121278,,W21-L39 0-14
hog26v6_best.pt,302592,231MB,2026-08-22 21:36,b6121278,,W41-L19 33-20
hog26v6_last.pt,1804800,231MB,2026-08-22 23:23,b6121278,,W1-L58 0-40
kl02_best.pt,250368,77MB,2026-08-23 02:28,b6121278,,W29-L11 26-13
kl02_last.pt,4001280,231MB,2026-08-23 06:15,b6121278,,
pilot_best.pt,3189760,231MB,2026-08-24 23:10,b6121278,,W38-L2 36-6
pilot_last.pt,3791360,231MB,2026-08-24 23:24,b6121278,,W31-L9 33-14
live_candidate/pilot_best_20260824.pt,1505280,231MB,2026-08-24 22:42,b6121278,,W33-L7 31-7
